stop_id,stop_name,stop_lat,stop_lon,location_type,x_m,y_m
spoon.flooding.barrel,Tolip - Zahraa Nasr City,30.0519311012012,31.4053380104311,0,346268.7165296107,3325611.2816970497
october.obviously.estimate,Emerald - New Cairo,30.0527476952774,31.4304848835559,0,348694.5164119642,3325668.249305821
composes.operated.vaulting,Twin Plaza,30.0528929366505,31.4320098964311,0,348841.7708653745,3325682.329778713
friends.serenade.speeches,Swan Lake Compound - 5th Settlement,30.0543624128727,31.4421060949372,0,349817.4091481621,3325831.8899302115
explains.fenced.playback,Al Shabab Entrance - 1st Settlement,30.0526603794383,31.4523274381724,0,350800.3255203925,3325629.875815653
gravest.housework.hers,Al Rahman Mosque - 1st Settlement,30.0528754043662,31.4552045479624,0,351078.04204627057,3325649.9569744063
inflamed.declares.giant,Al Shabrawy - 1st Settlement,30.0596983674628,31.4615137751111,0,351696.51222936925,3326397.941145021
manager.munch.bicker,Al Tawheed Mosque - 1st Settlement,30.0616840906941,31.4618250074415,0,351729.47755426704,3326617.613568762
present.reef.zoos,Postal Office - 1st Settlement,30.0669988294069,31.4618557690612,0,351740.3668734048,3327206.6020394764
lure.tractor.polices,Ibrahim Al Rifaie School - 1st Settlement,30.0700536157365,31.4562147081088,0,351201.1384497627,3327552.4916047417
chuckle.betrayed.ushering,Didi Mall - 1st Settlement,30.0705645380327,31.4523348729319,0,350827.89875786006,3327614.1737911873
fulfilled.villager.hawks,Sky Mart Mall - 1st Settlement,30.0678495353665,31.4511911751806,0,350713.57321206573,3327314.7643017364
fishery.darts.workshop,Higher Institute Of Marketing Commerce & Information Systems,30.0662381615646,31.4500703366387,0,350603.10371090105,3327137.640688785
recently.daytime.blacken,Ceramica Cleopatra - Sheikh Zayed,30.0251555471427,31.0172553088164,0,308797.91848414176,3323228.6287093107
unwraps.hubcaps.mute,Royal City Gate - Sheikh Zayed,30.0329863832625,31.0288103230108,0,309927.3752831605,3324077.3607138824
protrude.browser.engine,Alexandria Desert Road Steps - 26th of July Mehwar,30.0463643130266,31.0517317343062,0,312163.2615678675,3325522.324726336
giggle.carriage.tanks,Alexandria Desert Road Steps - 26th of July Mehwar,30.0480249368353,31.0544447605445,0,312428.0115638718,3325701.937031029
kebab.corrupted.slipping,26th of July Mehwar Exit -  Ring Road,30.0638459634082,31.1743809188684,0,324021.1422617044,3327264.8480971074
taps.race.aimlessly,Al Abeet Steps -Ring Road,30.0665855944896,31.1744910460988,0,324036.60824527603,3327568.3322112663
ballparks.lipstick.translate,Gamal Abd Al Nasser Steps - Ring Road,30.0719447534096,31.1758182511365,0,324174.03994948586,3328160.2852571867
providing.airbrush.flops,Cairo Festival City - South Teseen Street,30.0163886315845,31.4074565499909,0,346418.1621786499,3321669.2570184683
deriving.pump.floating,Al Barageel Steps - Ring Road,30.0769349249382,31.1790166101022,0,324491.1818321656,3328708.4666690007
burying.outs.sharpen,Al Barageel Steps - Ring Road,30.0772655404772,31.1791503975892,0,324504.66246042174,3328744.9057720825
instincts.camcorder.dragging,Al Sekka - Ring Road,30.0792414228876,31.1834238963555,0,324920.0970301896,3328957.351616291
stocked.ridiculed.spearing,Bashteel - Ring Road,30.0842199478542,31.1918027077182,0,325736.5053730353,3329496.3479139884
radiated.fire.huddling,Ezbet Al Mofti Steps - Ring Road,30.0883362638032,31.1955485971803,0,326104.77766863815,3329946.8804651294
evolves.latches.shelving,Al Masabek Steps - Ring Road,30.0909466721461,31.196880176146,0,326237.68986363354,3330234.184210082
tumble.blesses.arranger,Qawmeya Steps - Ring Road,30.096388347228,31.1994562223575,0,326495.4851325359,3330833.4075218528
obstruct.stops.hindering,Al Khouly Steps - Ring Road,30.0992963317645,31.2009171804529,0,326641.36651554017,3331153.5014143293
void.staples.something,Street 10 Steps - Ring Road,30.1062806820353,31.2027820869494,0,326833.28029129474,3331924.797015815
mural.sonic.rainfall,Al Bosta Steps - Ring Road,30.1130415630714,31.2031278168619,0,326878.39101743547,3332673.6299305735
secondly.homecare.icons,Al Warraq Exit - Ring Road,30.1190497743383,31.2022233852791,0,326801.7259277211,3333340.9361928366
struck.moped.custodian,Al Warraq Exit - Ring Road,30.125542582208,31.2015027394897,0,326743.6275603635,3334061.6764270547
planting.signed.dormant,Total Gas Station Bassous - Ring Road,30.1399599471827,31.2063126945855,0,327232.18703683047,3335652.36692963
comical.chaos.mailers,Al Bassous Steps - Ring Road,30.1447040336436,31.2119113834723,0,327779.78278853174,3336169.721710627
wound.panning.dolly,Qalyub Exit - Cairo Alexandria Agriculture Road,30.1468007661085,31.2302343492023,0,329548.4517527009,3336374.5874739974
jetting.technical.primed,Moassasa Pedestrian Bridge,30.1364178036672,31.2330289979626,0,329799.82868947403,3335219.598961513
dentistry.liked.baths,Ard Khedr Pedestrian Bridge - Shubra Al Kheima,30.129501844845,31.2381411400792,0,330280.48707752966,3334445.441283695
