H3_Hex_ID,Population_2018,Terminals_In_Hex,Has_Terminal
883e62842bfffff,969,0,False
883e62842dfffff,8696,0,False
883e628431fffff,969,0,False
883e628439fffff,969,0,False
883e62843bfffff,969,0,False
883e62843dfffff,969,1,True
883e628441fffff,20640,0,False
883e628443fffff,19968,0,False
883e628445fffff,20433,0,False
883e628447fffff,19470,0,False
883e628449fffff,26134,0,False
883e62844bfffff,20571,0,False
883e62844dfffff,25217,0,False
883e628451fffff,11691,1,True
883e628453fffff,2129,0,False
883e628455fffff,7545,0,False
883e628457fffff,969,0,False
883e628459fffff,19968,0,False
883e62845bfffff,17352,0,False
883e62845dfffff,19968,0,False
883e628461fffff,27503,1,True
883e628463fffff,7694,0,False
883e628465fffff,12068,0,False
883e628467fffff,10423,0,False
883e628469fffff,49327,0,False
883e62846bfffff,18047,0,False
883e62846dfffff,80854,0,False
883e6284a3fffff,199,0,False
883e6284a7fffff,199,0,False
883e6284adfffff,4099,0,False
883e6284b5fffff,2041,0,False
883e6284b7fffff,2242,0,False
883e6284c7fffff,969,0,False
883e6284c9fffff,969,0,False
883e6284cbfffff,969,0,False
883e628501fffff,8645,0,False
883e628503fffff,8488,0,False
883e628505fffff,11165,0,False
883e628507fffff,8681,1,True
883e628509fffff,15992,1,True
883e62850bfffff,10300,0,False
883e62850dfffff,10322,1,True
883e628511fffff,6713,1,True
883e628513fffff,3902,0,False
883e628515fffff,6138,0,False
883e628517fffff,5554,0,False
883e628519fffff,1568,1,True
883e62851bfffff,969,0,False
883e62851dfffff,9790,0,False
883e628521fffff,4424,0,False
883e628523fffff,1893,0,False
883e628525fffff,3835,0,False
883e628527fffff,720,0,False
883e628529fffff,9648,0,False
883e62852bfffff,12369,0,False
883e62852dfffff,4253,0,False
883e628531fffff,15912,1,True
883e628533fffff,22131,0,False
883e628535fffff,10143,0,False
883e628537fffff,16204,0,False
883e628539fffff,8007,1,True
883e62853bfffff,11839,2,True
883e62853dfffff,9995,1,True
883e628541fffff,47457,1,True
883e628543fffff,29856,0,False
883e628545fffff,35717,0,False
883e628547fffff,26851,0,False
883e628549fffff,49106,0,False
883e62854bfffff,15014,0,False
883e62854dfffff,41610,1,True
883e628551fffff,15272,0,False
883e628553fffff,10360,0,False
883e628555fffff,21110,0,False
883e628557fffff,13723,0,False
883e628559fffff,16323,1,True
883e62855bfffff,10423,1,True
883e62855dfffff,16960,0,False
883e628561fffff,16684,0,False
883e628563fffff,12971,0,False
883e628565fffff,37617,1,True
883e628567fffff,7339,0,False
883e628569fffff,16198,0,False
883e62856bfffff,18491,1,True
883e62856dfffff,63465,1,True
883e628583fffff,10401,0,False
883e628585fffff,7563,0,False
883e628587fffff,7195,0,False
883e62858dfffff,10586,1,True
883e628591fffff,1559,0,False
883e628593fffff,199,0,False
883e628597fffff,199,0,False
883e62859bfffff,200,0,False
883e6285a1fffff,2779,1,True
883e6285a7fffff,3994,0,False
883e6285a9fffff,6058,0,False
883e6285abfffff,5982,1,True
883e6285adfffff,2997,0,False
883e6285b1fffff,4673,0,False
883e6285b3fffff,2112,0,False
883e6285b7fffff,4035,0,False
883e6285b9fffff,5873,0,False
883e6285bbfffff,199,0,False
883e6285bdfffff,6112,0,False
883e6285c1fffff,2618,1,True
883e6285c3fffff,8540,0,False
883e6285c5fffff,8039,0,False
883e6285c7fffff,10425,1,True
883e6285c9fffff,969,0,False
883e6285cbfffff,969,0,False
883e6285cdfffff,969,0,False
883e6285d1fffff,8337,0,False
883e6285d9fffff,969,0,False
883e6285dbfffff,1795,0,False
883e6285ddfffff,2924,0,False
883e6285e1fffff,11355,0,False
883e6285e3fffff,10234,0,False
883e6285e5fffff,19298,0,False
883e6285e7fffff,8971,0,False
883e6285e9fffff,8927,0,False
883e6285ebfffff,10624,1,True
883e6285edfffff,19330,0,False
883e628601fffff,5921,0,False
883e628603fffff,5940,0,False
883e628605fffff,8135,0,False
883e628607fffff,7819,0,False
883e628609fffff,3225,0,False
883e62860bfffff,5061,0,False
883e62860dfffff,5921,0,False
883e628611fffff,15107,0,False
883e628613fffff,18382,1,True
883e628615fffff,7088,0,False
883e628617fffff,17982,0,False
883e62861bfffff,14912,0,False
883e62861dfffff,5882,0,False
883e628621fffff,15658,0,False
883e628623fffff,12868,0,False
883e628625fffff,45208,1,True
883e628627fffff,19164,0,False
883e628629fffff,12356,0,False
883e62862bfffff,13004,0,False
883e62862dfffff,10120,0,False
883e628631fffff,9769,0,False
883e628633fffff,19195,0,False
883e628635fffff,11925,0,False
883e628637fffff,19472,0,False
883e628639fffff,8011,0,False
883e62863bfffff,14758,0,False
883e62863dfffff,8294,1,True
883e628641fffff,9073,0,False
883e628643fffff,140,0,False
883e628645fffff,8595,0,False
883e628647fffff,3286,0,False
883e628649fffff,17062,0,False
883e62864bfffff,3420,0,False
883e62864dfffff,7713,0,False
883e628655fffff,140,0,False
883e628657fffff,454,0,False
883e628661fffff,12796,0,False
883e628663fffff,9916,0,False
883e628667fffff,13096,0,False
883e628669fffff,9704,0,False
883e62866bfffff,7687,0,False
883e62866dfffff,14198,0,False
883e628681fffff,5050,0,False
883e628685fffff,7843,0,False
883e628689fffff,8675,1,True
883e62868bfffff,4992,0,False
883e62868dfffff,10679,0,False
883e62869dfffff,1528,0,False
883e6286a1fffff,4658,0,False
883e6286a3fffff,748,0,False
883e6286a5fffff,969,0,False
883e6286a9fffff,10592,0,False
883e6286adfffff,7780,0,False
883e6286b5fffff,788,0,False
883e6286c3fffff,25579,0,False
883e6286c5fffff,17644,0,False
883e6286c7fffff,11813,0,False
883e6286cbfffff,11623,0,False
883e6286cdfffff,18231,1,True
883e6286d1fffff,1888,0,False
883e6286d3fffff,1660,0,False
883e6286d5fffff,8612,0,False
883e6286d9fffff,1888,0,False
883e6286dbfffff,1888,0,False
883e6286ddfffff,9227,0,False
883e6286e1fffff,18865,0,False
883e6286e3fffff,15678,0,False
883e6286e5fffff,19338,1,True
883e6286e7fffff,19049,0,False
883e6286e9fffff,18581,0,False
883e6286ebfffff,13106,0,False
883e6286edfffff,18335,0,False
883e628701fffff,53686,0,False
883e628703fffff,72912,1,True
883e628705fffff,38205,0,False
883e628707fffff,76579,0,False
883e628709fffff,51306,1,True
883e62870bfffff,59077,0,False
883e62870dfffff,51306,0,False
883e628711fffff,51645,0,False
883e628713fffff,34658,1,True
883e628715fffff,58793,1,True
883e628717fffff,68141,2,True
883e628719fffff,51387,0,False
883e62871bfffff,36868,0,False
883e62871dfffff,58167,1,True
883e628721fffff,28896,1,True
883e628723fffff,76723,1,True
883e628725fffff,66989,1,True
883e628727fffff,92170,0,False
883e628729fffff,21036,0,False
883e62872bfffff,77745,1,True
883e62872dfffff,14047,0,False
883e628731fffff,71868,0,False
883e628733fffff,75685,0,False
883e628735fffff,58111,0,False
883e628737fffff,57013,1,True
883e628739fffff,60950,2,True
883e62873bfffff,82820,2,True
883e62873dfffff,73740,2,True
883e628741fffff,33197,0,False
883e628743fffff,51317,0,False
883e628745fffff,7733,1,True
883e628747fffff,51311,0,False
883e628749fffff,5484,0,False
883e62874bfffff,36988,0,False
883e62874dfffff,5602,0,False
883e628751fffff,23950,0,False
883e628753fffff,21509,0,False
883e628755fffff,51344,0,False
883e628757fffff,50933,1,True
883e62875bfffff,8886,0,False
883e62875dfffff,21934,0,False
883e628761fffff,19260,0,False
883e628763fffff,30323,0,False
883e628765fffff,36838,0,False
883e628767fffff,14012,0,False
883e628769fffff,26973,0,False
883e62876bfffff,33446,1,True
883e62876dfffff,40762,0,False
883e628813fffff,7890,0,False
883e628819fffff,7470,0,False
883e62881bfffff,6763,0,False
883e628831fffff,0,0,False
883e628833fffff,0,0,False
883e628837fffff,0,0,False
883e62883bfffff,0,0,False
883e628851fffff,4594,0,False
883e628853fffff,7977,0,False
883e628859fffff,3120,0,False
883e62885bfffff,7978,0,False
883e628881fffff,15724,1,True
883e628883fffff,13911,0,False
883e628887fffff,15657,0,False
883e628889fffff,21491,2,True
883e62888bfffff,24326,1,True
883e62888dfffff,14805,0,False
883e628891fffff,18087,0,False
883e628893fffff,14949,0,False
883e628895fffff,13189,0,False
883e628897fffff,4671,0,False
883e628899fffff,46396,0,False
883e62889bfffff,22871,0,False
883e62889dfffff,23728,1,True
883e6288b1fffff,9116,0,False
883e6288b3fffff,2631,0,False
883e6288b7fffff,2487,0,False
883e6288b9fffff,13907,0,False
883e6288bbfffff,6970,0,False
883e6288bdfffff,15968,0,False
883e6288c1fffff,29317,0,False
883e6288c3fffff,37506,1,True
883e6288c5fffff,25268,0,False
883e6288c7fffff,27066,2,True
883e6288c9fffff,19860,1,True
883e6288cbfffff,44862,0,False
883e6288cdfffff,4951,0,False
883e6288d1fffff,35145,1,True
883e6288d3fffff,64495,0,False
883e6288d5fffff,32100,1,True
883e6288d7fffff,30489,0,False
883e6288d9fffff,44970,0,False
883e6288dbfffff,38631,0,False
883e6288ddfffff,44970,0,False
883e6288e1fffff,7350,0,False
883e6288e5fffff,0,1,True
883e6288ebfffff,20920,1,True
883e628901fffff,133,0,False
883e628903fffff,155,0,False
883e628905fffff,246,0,False
883e628907fffff,246,0,False
883e628909fffff,89,0,False
883e62890bfffff,89,0,False
883e62890dfffff,112,0,False
883e628911fffff,89,0,False
883e628913fffff,89,0,False
883e628915fffff,177,0,False
883e628917fffff,199,0,False
883e628919fffff,89,0,False
883e62891bfffff,89,0,False
883e62891dfffff,89,0,False
883e628921fffff,246,0,False
883e628923fffff,246,0,False
883e628925fffff,246,0,False
883e628927fffff,246,0,False
883e628929fffff,246,0,False
883e628931fffff,246,0,False
883e628935fffff,246,0,False
883e628939fffff,246,0,False
883e62893bfffff,246,0,False
883e62893dfffff,246,0,False
883e628941fffff,89,0,False
883e628945fffff,97,0,False
883e628947fffff,89,0,False
883e628949fffff,89,0,False
883e62894bfffff,89,0,False
883e62894dfffff,89,0,False
883e628957fffff,89,0,False
883e62895bfffff,89,0,False
883e628961fffff,228,0,False
883e628963fffff,244,0,False
883e628969fffff,111,0,False
883e62896bfffff,112,0,False
883e62896dfffff,122,0,False
883e62898bfffff,118,0,False
883e6289a5fffff,246,0,False
883e6289adfffff,246,0,False
883e6289c3fffff,0,0,False
883e6289c7fffff,140,0,False
883e6289cdfffff,70,0,False
883e6289d1fffff,0,0,False
883e6289d5fffff,0,0,False
883e6289d7fffff,0,0,False
883e6289d9fffff,0,0,False
883e6289ddfffff,0,0,False
883e6289e7fffff,246,0,False
883e6289e9fffff,228,0,False
883e6289ebfffff,246,0,False
883e6289edfffff,246,0,False
883e628a03fffff,1667,0,False
883e628a0bfffff,1667,0,False
883e628a0dfffff,1547,0,False
883e628a15fffff,2176,0,False
883e628a19fffff,2595,0,False
883e628a25fffff,567,1,True
883e628a33fffff,1563,1,True
883e628a45fffff,1113,0,False
883e628a47fffff,1668,0,False
883e628a53fffff,2617,0,False
883e628a81fffff,4177,0,False
883e628a89fffff,4177,0,False
883e628a8bfffff,7587,0,False
883e628a8dfffff,4207,1,True
883e628a91fffff,23212,0,False
883e628a93fffff,74517,0,False
883e628a97fffff,70509,1,True
883e628a99fffff,19170,0,False
883e628a9bfffff,48701,0,False
883e628a9dfffff,6133,1,True
883e628aa3fffff,14427,0,False
883e628aa5fffff,7977,0,False
883e628aa9fffff,7977,0,False
883e628aadfffff,7977,0,False
883e628ab3fffff,11642,0,False
883e628ab5fffff,18043,2,True
883e628ab7fffff,34321,0,False
883e628abbfffff,9898,0,False
883e628ac7fffff,4178,0,False
883e628ac9fffff,3830,0,False
883e628ad7fffff,11838,0,False
883e628ad9fffff,6111,0,False
883e628ae1fffff,5953,0,False
883e628ae3fffff,7276,0,False
883e628ae5fffff,5010,0,False
883e628ae7fffff,7942,1,True
883e628aebfffff,7492,0,False
883e628b01fffff,1824,0,False
883e628b03fffff,948,1,True
883e628b05fffff,1824,0,False
883e628b07fffff,1008,0,False
883e628b09fffff,1484,0,False
883e628b0bfffff,1439,0,False
883e628b0dfffff,1824,2,True
883e628b11fffff,240,0,False
883e628b15fffff,252,0,False
883e628b19fffff,923,0,False
883e628b1bfffff,100,0,False
883e628b1dfffff,902,0,False
883e628b21fffff,969,0,False
883e628b23fffff,89,0,False
883e628b25fffff,763,0,False
883e628b27fffff,89,0,False
883e628b29fffff,1824,0,False
883e628b2bfffff,917,1,True
883e628b2dfffff,1824,0,False
883e628b31fffff,89,0,False
883e628b33fffff,89,0,False
883e628b35fffff,89,0,False
883e628b37fffff,89,0,False
883e628b39fffff,314,0,False
883e628b3dfffff,293,0,False
883e628b45fffff,1825,0,False
883e628b47fffff,1520,0,False
883e628b4dfffff,1417,0,False
883e628b57fffff,1690,0,False
883e628b61fffff,1824,0,False
883e628b63fffff,1824,0,False
883e628b65fffff,1824,0,False
883e628b67fffff,1824,0,False
883e628b69fffff,1825,1,True
883e628b6bfffff,1824,0,False
883e628b6dfffff,1825,0,False
883e628c01fffff,45214,1,True
883e628c03fffff,4261,0,False
883e628c05fffff,67202,0,False
883e628c07fffff,38984,0,False
883e628c09fffff,25309,0,False
883e628c0bfffff,24714,0,False
883e628c0dfffff,43064,0,False
883e628c11fffff,4327,0,False
883e628c13fffff,4261,0,False
883e628c15fffff,4261,0,False
883e628c17fffff,4260,0,False
883e628c19fffff,5651,0,False
883e628c1bfffff,5536,1,True
883e628c1dfffff,4417,1,True
883e628c21fffff,63950,0,False
883e628c23fffff,18220,0,False
883e628c25fffff,12775,1,True
883e628c27fffff,13363,2,True
883e628c29fffff,119559,1,True
883e628c2bfffff,76440,0,False
883e628c2dfffff,62356,1,True
883e628c31fffff,4938,0,False
883e628c33fffff,2862,0,False
883e628c35fffff,6455,0,False
883e628c37fffff,4700,0,False
883e628c39fffff,4261,1,True
883e628c3bfffff,4260,0,False
883e628c3dfffff,9966,1,True
883e628c41fffff,4388,0,False
883e628c43fffff,8761,0,False
883e628c45fffff,13589,0,False
883e628c47fffff,3754,0,False
883e628c49fffff,9454,0,False
883e628c4bfffff,6808,0,False
883e628c4dfffff,8578,0,False
883e628c51fffff,2677,0,False
883e628c53fffff,5662,0,False
883e628c55fffff,4835,0,False
883e628c57fffff,5367,0,False
883e628c59fffff,2576,0,False
883e628c5bfffff,3872,0,False
883e628c5dfffff,3342,0,False
883e628c61fffff,72964,0,False
