id,Feature_ID,Vehicles_Per_Hour,geometry
vehicles_per_segment_combined_simp.48,48,202.0,"LINESTRING (334105.3897835141 3328046.538054526, 334161.6992775126 3328084.9345841943)"
vehicles_per_segment_combined_simp.49,49,202.0,"LINESTRING (334161.6992775126 3328084.9345841943, 334195.58679538907 3328113.4697276223, 334261.34120372747 3328190.081960603, 334348.4385560471 3328269.0342200184, 334359.35505622916 3328276.85195608, 334356.10881965765 3328269.362325805)"
vehicles_per_segment_combined_simp.50,50,213.0,"LINESTRING (334510.52198242437 3328301.823781594, 334546.82779525756 3328266.2746302076, 334632.22474653414 3328187.169236933, 334672.47886442865 3328151.7552905506, 334695.9929081815 3328113.589492063)"
vehicles_per_segment_combined_simp.51,51,6.0,"LINESTRING (334510.52198242437 3328301.823781594, 334515.78866362164 3328298.8900390146, 334533.9376458514 3328287.5314972284, 334647.08659694897 3328181.6249222076, 334675.6401193547 3328156.807374703, 334761.4344407237 3328091.221952026, 335105.6687689832 3327834.4147304306, 335150.4300040528 3327797.1615224998, 335250.62387111783 3327726.930501658, 335293.3088771095 3327679.731689618, 335322.7794705448 3327651.576529539, 335344.67049102613 3327632.403412007, 335357.9515766675 3327617.7933325088, 335399.4085520423 3327552.8759519453, 335433.55097181344 3327514.674068371, 335485.0620904754 3327480.045374903)"
vehicles_per_segment_combined_simp.52,52,211.0,"LINESTRING (332431.53401625785 3327493.620853353, 332407.1415085795 3327484.3469378594, 332701.6822928925 3327614.7883652546, 332722.6995107206 3327620.899190784, 332733.3257969292 3327622.179067149, 332768.96827194525 3327619.864323515, 332763.62856762967 3327630.1810905742)"
vehicles_per_segment_combined_simp.53,53,4.0,"LINESTRING (332431.53401625785 3327493.620853353, 332407.1415085795 3327484.3469378594, 332468.7708814596 3327345.6103304755, 332462.8769814336 3327338.4940048237, 332461.8421489152 3327333.8535998436, 332463.92132974963 3327324.7314379103, 332469.7145098944 3327318.8786286484, 332473.3560543896 3327317.3820860623, 332481.45420254883 3327317.2589853653, 332532.7712742066 3327210.4965515514, 332489.0640590851 3327113.714531846)"
vehicles_per_segment_combined_simp.54,54,28.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332820.2393971187 3327643.4755882896, 332827.6131473963 3327646.467804317, 333126.39876243495 3327752.244699901, 333569.4324114459 3327896.645960717, 333689.3017689168 3327942.3947956106, 333714.0689711856 3327947.896539082, 333745.56243589014 3327951.8556619114, 333809.5885164561 3327964.747184968, 333876.3961366853 3327970.280393889, 333954.0744627301 3327986.9578481195, 333953.92986261024 3327986.9600273627)"
vehicles_per_segment_combined_simp.55,55,174.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332820.2393971187 3327643.4755882896, 333016.26408207935 3327712.8949485635, 333493.04463848716 3327869.7525327327)"
vehicles_per_segment_combined_simp.56,56,1.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332832.53028775926 3327640.074173613, 333325.20322092634 3327808.1023123134, 333316.09865730326 3327773.540871811, 333308.2631817099 3327720.8900653035, 333305.1513772249 3327642.6700157793, 333307.3367751724 3327602.28393765, 333315.5931530879 3327542.516402806, 333326.1868019757 3327497.014461224, 333332.98883485864 3327474.9613212976, 333349.5136409354 3327432.6955094705, 333378.97210371477 3327378.4830268063, 333413.8949532715 3327328.5115757096, 333430.81248648884 3327299.432307688, 333471.6914991745 3327235.1810014714, 333575.9742005415 3326963.4406644627, 333584.1787613464 3326961.4099963866)"
vehicles_per_segment_combined_simp.57,57,32.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332769.44997642934 3327664.311981035, 332815.22943506495 3327764.500133944)"
vehicles_per_segment_combined_simp.58,58,1.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332771.83809103107 3327643.7665881226, 332789.5176248866 3327677.7541148337, 332853.53366832575 3327816.9102095407, 332935.22839714464 3328009.2331565064, 332994.63962469646 3328143.8036097703, 333063.49989069125 3328310.269731095, 333084.7792051883 3328365.599113364, 333134.2593022146 3328474.9336659997, 333267.9567853983 3328797.5076971455, 333368.70290208387 3329032.780309712, 333458.6318812321 3329260.6787564578, 333563.7024828163 3329521.052646503, 333639.9512571405 3329724.5481107477, 333724.32518694014 3329942.7765299683, 333745.8954026338 3329992.2269534613, 333742.81017826556 3329998.59256626, 333736.19158388785 3330000.798856836, 333731.5334193213 3329998.762862337, 333694.7054543904 3329896.5518059237)"
vehicles_per_segment_combined_simp.59,59,37.0,"LINESTRING (332763.62856762967 3327630.1810905742, 332751.6118493434 3327645.2930269516, 332770.20827193296 3327657.094555105, 332817.45050076966 3327701.1652286286, 332923.9321518496 3327766.620580208, 333000.67837396613 3327817.007110909, 333076.03326902003 3327871.0735990102, 333111.96058897756 3327900.350731556, 333181.26553600654 3327962.491443131, 333268.4181873074 3328057.1770098642)"
