id,Feature_ID,Passengers_Per_Hour,geometry
passenger_flow_mpp.111,111,992.0,"LINESTRING (326419.6804772793 3321708.6926450003, 326562.3652763866 3321772.628322308, 326583.1854249317 3321777.511910074, 326603.09914877056 3321779.9707798255, 326789.5607249629 3321776.4890579623)"
passenger_flow_mpp.112,112,995.0,"LINESTRING (327733.0545039986 3327028.936327285, 327837.49916556536 3327054.0224122345)"
passenger_flow_mpp.113,113,1003.0,"LINESTRING (341575.6333863155 3333098.8236222924, 341186.27566779096 3333208.5080597363, 341177.9254044689 3333204.194410083, 341172.7067150297 3333196.5098506073, 341171.89778746373 3333187.2096148063, 341173.277432262 3333182.6445850376, 341179.14719736826 3333175.3541579433, 341207.82323828933 3333172.390351015, 341325.2665453827 3333143.313661894, 341569.07614285493 3333076.342276649)"
passenger_flow_mpp.114,114,1004.0,"LINESTRING (327464.41143802094 3321800.292905891, 327553.29407747905 3321814.2035532095)"
passenger_flow_mpp.115,115,1005.0,"LINESTRING (333526.447577617 3329429.7549028457, 333579.17588356027 3329562.502174429, 333619.7893012259 3329670.739727888)"
passenger_flow_mpp.116,116,1006.0,"LINESTRING (330893.0037086017 3329203.6600352763, 330894.83018493874 3329291.212712298)"
passenger_flow_mpp.117,117,1007.0,"LINESTRING (333304.2428699026 3330550.9897119016, 333492.0562662131 3330482.62866356)"
passenger_flow_mpp.118,118,1013.0,"LINESTRING (329475.5122007006 3322540.12368599, 329475.8609027914 3322540.089475768)"
passenger_flow_mpp.119,119,1018.0,"LINESTRING (329498.93319776206 3325512.3785153804, 329512.8044753758 3325511.277163425)"
passenger_flow_mpp.120,120,1023.0,"LINESTRING (342469.4866064952 3332840.41288762, 342481.97456829646 3332837.57349528, 342507.67736430024 3332835.5425721924, 342520.6031270247 3332836.355181799, 342542.93079116225 3332840.913134632)"
passenger_flow_mpp.121,121,1027.0,"LINESTRING (329555.4890652468 3317669.6219341825, 329638.0155019107 3317463.2583028935)"
passenger_flow_mpp.122,122,1031.0,"LINESTRING (333492.0562662131 3330482.62866356, 333503.3928603196 3330473.6992250835, 333521.85310501134 3330464.1077605123, 333624.6143861953 3330426.553376567)"
passenger_flow_mpp.123,123,1032.0,"LINESTRING (340780.0907588224 3330812.570832217, 340802.3925602499 3330828.322351427, 341338.84016416327 3331164.228807205, 341901.2540188059 3331511.869800484)"
passenger_flow_mpp.124,124,1041.0,"LINESTRING (324834.47588136187 3323536.038183764, 325019.5779427098 3323547.0706247166, 325021.55596372404 3323547.09912861, 325052.28777529125 3323547.54981284, 325101.6294541757 3323544.439566473, 325157.26597569825 3323530.6976975705)"
passenger_flow_mpp.125,125,1057.0,"LINESTRING (334233.54454642907 3330193.0685868505, 334303.63476400555 3330161.4161352557, 334584.59460922115 3330042.340491313, 334684.7263385267 3329996.5159690375)"
passenger_flow_mpp.126,126,1059.0,"LINESTRING (338699.927972171 3330372.4927173755, 338731.8461558152 3330379.785069383)"
