Stop_Name,board_daily_int_cta_morning,board_daily_int_p_o_14_morning,board_daily_int_cta_m_morning,board_daily_int_coop_morning,board_daily_int_p_b_8_morning,board_daily_int_cta_evening,board_daily_int_p_o_14_evening,board_daily_int_cta_m_evening,board_daily_int_coop_evening,board_daily_int_p_b_8_evening,Total_Morning_Boarding,Total_Evening_Boarding
Al Fardous Compound Entrance (6th of October),0.0,19.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,19.0,44.0
Al Fath Mosque (Mansheyyet Al Gamal St.),0.0,0.0,27.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,27.0,48.0
Al Fath Superjet,80.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,72.0,80.0,100.0
Al Fath Superjet (Nasr City),288.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,288.0,56.0
Al Fayrouz Medical Center (Helwan),0.0,604.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,604.0,56.0
Al Fouad Hospital (Abbaseya),1075.0,0.0,72.0,0.0,0.0,404.0,0.0,184.0,0.0,0.0,1147.0,588.0
Al Gabal Al Asfar (Marg),0.0,216.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,216.0,800.0
Al Galaa Bridge,0.0,538.0,262.0,0.0,0.0,44.0,312.0,184.0,0.0,0.0,800.0,540.0
Al Galaa Bridge (Helipolis),69.0,141.0,219.0,0.0,0.0,64.0,0.0,232.0,0.0,0.0,429.0,296.0
Al Galaa Military Hospital,18.0,5496.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,5514.0,60.0
Al Gamaia Al Sharaia (Nasr City),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Gamaleya Youth Center,1874.0,0.0,1488.0,0.0,0.0,748.0,0.0,880.0,0.0,0.0,3362.0,1628.0
Al Garage ( Sawah ),153.0,0.0,132.0,23.0,0.0,152.0,0.0,0.0,64.0,0.0,308.0,216.0
Al Gazaer Exit (Ring Rd.),37.0,106.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,143.0,48.0
Al Gazareen (Warraq),13.0,0.0,0.0,0.0,0.0,0.0,96.0,56.0,1032.0,0.0,13.0,1184.0
Al Geish Square,714.0,0.0,409.0,0.0,0.0,449.3502513277072,0.0,428.0,0.0,0.0,1123.0,877.3502513277072
Al Gezira Steps (October Bridge),74.0,826.0,0.0,0.0,0.0,80.0,448.0,12.0,0.0,0.0,900.0,540.0
Al Gomhoreyya (Al Masraf),0.0,144.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,144.0,296.0
Al Gomhoreyya (Howd Al Shaikh),0.0,144.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,144.0,444.0
Al Habib Mosque (Al Barageel),0.0,37.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,37.0,384.0
Al Hadaba Al Wosta,380.0,1314.0,0.0,0.0,0.0,140.0,1080.0,0.0,0.0,0.0,1694.0,1220.0
Al Hamd Square Station,247.0,0.0,108.0,0.0,0.0,452.0,0.0,48.0,0.0,64.0,355.0,564.0
Al Haq Hospital (Arbean St.),0.0,0.0,169.0,0.0,0.0,0.0,0.0,140.0,48.0,0.0,169.0,188.0
Al Harania Footbridge,0.0,1147.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,1147.0,504.0
Al Hawamdeyya,0.0,1243.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,1243.0,504.0
Al Hawamdeyya Bridge St.,0.0,1302.0,0.0,28.0,0.0,0.0,420.0,0.0,0.0,0.0,1330.0,420.0
Al Hawamdeyya Traffic Authority,0.0,317.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,317.0,240.0
Al Hayat Islamic School (Marg),0.0,72.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,72.0,316.0
Al Hays Pastry (Nozha St.),44.0,0.0,345.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,389.0,192.0
Al Hegaz Square,640.0,2940.0,1694.0,0.0,0.0,296.0,2240.0,1428.0,0.0,0.0,5274.0,3964.0
Al Helmeya Garden (Gesr Al Suez),400.0,238.0,264.0,0.0,0.0,228.0,248.0,116.0,0.0,0.0,902.0,592.0
Al Helmeya Square (Heliopolis),1802.0,1507.0,2362.0,0.0,0.0,1552.0,780.0,1324.0,0.0,0.0,5671.0,3656.0
Al Hennawy Furniture (Airport Rd.),18.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,18.0,60.0
Al Herafeyin (Gesr Al Suez),0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0
Al Herafyeen (Gesr Al Suez),9.0,0.0,0.0,0.0,0.0,12.0,332.0,0.0,0.0,0.0,9.0,344.0
Al Hikma Labs (Nohza St.),71.0,0.0,67.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,138.0,84.0
Al Horeyya Rd. (Badr),102.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,102.0,72.0
Al Horia Square (Maadi),26.0,0.0,0.0,0.0,0.0,178.91459095847898,0.0,48.0,0.0,0.0,26.0,226.91459095847898
Al Horreya Square (Shorouq City),26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Al Hossary Azhari Language School,0.0,247.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,247.0,224.0
Al Huda Mosuqe (Al Mosky),242.0,0.0,182.0,0.0,0.0,332.7771989002604,0.0,700.0,0.0,0.0,424.0,1032.7771989002604
Al Hussein Hospital (Al Darraasa),0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0
Al Imam Al Shafei Cemetaries (Autostrad),105.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,105.0,56.0
Al Ismailiya Square,174.0,0.0,517.0,0.0,0.0,96.0,0.0,432.0,0.0,0.0,691.0,528.0
Al Itihadeya,102.0,0.0,1971.0,0.0,0.0,80.0,0.0,940.0,0.0,0.0,2073.0,1020.0
Al Kabbani Furniture (6th of October),56.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
Al Kahraba Housing Complex,0.0,157.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,157.0,256.0
Al Kahraba St. (Nasr City),200.0,69.0,1344.0,0.0,0.0,108.0,0.0,852.0,0.0,0.0,1613.0,960.0
Al Kahraba St. & Al Wahat Road,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,184.0
Al Kahraba St. & Tabarak St.,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
Al Karma Compound Gate (Sheikh Zayed),0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
Al Kasr Al Aini Hospital,3112.0,17.0,1267.0,0.0,0.0,1224.0,104.0,964.0,0.0,0.0,4396.0,2292.0
Al Kawetch (Al Matareyya),359.0,0.0,206.0,0.0,0.0,132.0,0.0,88.0,0.0,0.0,565.0,220.0
Al Kawthar St. & Gamal Al Din Al Banna St.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
