Terminal_ID,Terminal_Name,Population_2018,Jobs_In_Hex,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio
199,Mazlaqan Al Deweqa,6576.0,991.0,417.0,2838.0,6.805755395683454
200,Abu Al Houl St,15724.0,3614.0,4.0,48.0,12.0
201,Al Sawah Square,43613.0,5484.0,208.0,3686.198493474669,17.72210814170514
202,Hawamdeyya,12232.0,5506.0,0.0,0.0,
203,Qism El Hadayek,63465.0,12161.0,48.0,2074.0,43.208333333333336
204,Obour Market,,,0.0,0.0,
205,Khanka,5507.0,4779.0,0.0,0.0,
206,Manshiyat Nasser,53062.0,3367.0,242.0,2516.0,10.396694214876034
207,Badr City,1359.0,379.0,14.0,225.0,16.071428571428573
208,Bashtil,44361.0,8286.0,74.0,1131.0,15.283783783783784
209,Filfil Mosque (Bashtil),44361.0,8286.0,25.0,397.09097550500013,15.883639020200006
210,Nasr St,4261.0,3423.0,60.0,289.0,4.816666666666666
211,Orabi Bridge,43444.0,29179.0,547.0,10147.356097751765,18.550925224409077
212,Megawra 3 (15th of May),1641.0,308.0,2.0,0.0,0.0
213,Megawra 11 (15th of May),1588.0,3167.0,14.0,0.0,0.0
214,Saad Zaghloul Metro,39156.0,30762.0,9.0,96.0,10.666666666666666
215,Masaken Almaza,6713.0,6784.0,28.0,159.0,5.678571428571429
216,Faisal St & Ring Rd,37506.0,7831.0,147.0,1042.0,7.08843537414966
217,Mostorod Ring Rd,7733.0,1579.0,200.0,2293.7988801638694,11.468994400819348
218,Bab Al Shaaria Square,30251.0,26977.0,523.0,23478.0,44.89101338432123
219,Moassaset Al Zakah,8294.0,509.0,2.0,198.0,99.0
220,Al Marg Police,58167.0,9835.0,58.0,396.0,6.827586206896552
221,Applied Arts - Cairo University,3702.0,21697.0,184.0,960.0,5.217391304347826
222,8th District (Nasr City) - Al tabba,10586.0,1770.0,19.0,388.0,20.42105263157895
223,Basateen,45214.0,5848.0,0.0,0.0,
224,Al Magzar (Mariouteya),23728.0,6502.0,324.0,2486.0,7.672839506172839
225,Masaken Othman (Ezbet El Nakhl),60950.0,14440.0,220.0,2337.0,10.622727272727273
226,El Kafr (Birak Al Khiyam),6133.0,1174.0,40.0,480.0,12.0
227,Nahia,4207.0,491.0,5.0,0.0,0.0
228,Qasr Al Einy,17062.0,30218.0,597.0,9537.0,15.974874371859297
229,Mohagreen (Ezbet Al Nakhl),58793.0,11673.0,97.0,715.0,7.371134020618556
230,Faisal Tawabek,35145.0,20863.0,34.0,427.0,12.558823529411764
231,Al Malek Al Saleh,28728.0,6245.0,165.0,1816.0,11.006060606060606
232,Imbaba,31676.0,16368.0,32.0,396.0,12.375
233,Al-Salam (10th of Ramadan),19338.0,3850.0,5.0,1234.0,246.8
234,Saqqara Traffic Office,3310.0,208.0,50.0,532.0,10.64
235,Koleyet Al Banat - Ain Shams University,8681.0,7312.0,198.0,2121.664325972967,10.715476393802865
236,Lotus  (5th Settlement),1203.0,382.0,0.0,0.0,
237,El Itihad Square (Maadi),12775.0,12604.0,0.0,0.0,
238,El Warsha (Ezbet Al Nakhl),68141.0,12820.0,116.0,963.0,8.301724137931034
239,Bashtil El Balad,29702.0,5254.0,26.0,230.0,8.846153846153847
240,Kafr Al Shurafa,34658.0,5736.0,37.0,377.0,10.18918918918919
241,Ring Rd Exit to Khosous,33446.0,11706.0,26.0,502.0,19.307692307692307
242,Abdullah El Refaey,45208.0,6750.0,10.0,0.0,0.0
243,Bus Stop 43 (Matareya),76723.0,14942.0,2.0,0.0,0.0
244,Helmeyet El Zaitoun Metro,47457.0,12408.0,394.0,13124.723787959792,33.31148169532942
245,Kafr Tohormos,88873.0,12333.0,22.0,492.0,22.363636363636363
246,Korba,15992.0,15384.0,290.0,4825.0,16.637931034482758
247,Koleyet Al Banat - Azhar University,10484.0,11506.0,2.0,24.0,12.0
248,Kolleyet Al Zeraah (Ain Shams University),43444.0,29179.0,190.0,1289.8739592442255,6.788810311811713
249,Fayda Kamel,119559.0,12573.0,78.0,881.0,11.294871794871796
250,Maadi Metro,13363.0,13765.0,41.0,514.0,12.536585365853659
251,Al Sheikh Mansour,72912.0,15396.0,12.0,394.0,32.833333333333336
252,Awwel Faisal,24471.0,20956.0,129.0,2736.0,21.209302325581394
253,Cairo University,3702.0,21697.0,656.0,10340.484642533062,15.762933906300399
255,Barageel St,7161.0,2494.0,6.0,42.0,7.0
256,Khalafawy Square,40897.0,13231.0,522.0,4415.2710052500215,8.458373573275903
258,Zahraa Metro,14052.0,5247.0,193.0,1791.0,9.279792746113989
259,Moassasa,21897.0,24370.0,435.0,2527.0,5.809195402298851
261,Madinat Al Solb  (Al Tibeen),4042.0,2008.0,4.0,132.0,33.0
263,Kilo 4 & Half,2618.0,1185.0,279.0,2382.0,8.53763440860215
264,Abou El Numrus,8340.0,1830.0,43.0,1294.0,30.093023255813954
265,Shabramant,3245.0,3572.0,29.0,434.0,14.96551724137931
266,Abboud,26722.0,29813.0,0.0,0.0,
267,Znen (Awwel Al Eshreen),66987.0,11799.0,311.0,2018.0,6.488745980707395
268,Cairo University Metro,10019.0,16579.0,158.0,754.0,4.772151898734177
