Route_Code,Vehicle_Type,Route_Length_km,Vehicle_Capacity
ADJZbj6QAtiHt8lqBibnV,Minibus,20.5286850043997,33
lXqxNN6vXSyk0IYiGiSVf,Microbus,4.38658345085666,14
P_B_8_6O017,Tomnaya,13.6617862346128,7
8RI-aNmJq8pcth5IxMf8T,Microbus,10.2769100547835,14
CTA_99SS,Bus,14.0245564221312,49
P_O_14_CA072,Microbus,17.522458629655,14
P_O_14_IG022,Microbus,22.9210240652263,14
CTA_1,Bus,39.0487035046053,49
n12_wD90lp64_mH8N3fRH,Microbus,3.75806182626333,14
Tpa0A12goEVH-sdvNU4pa,Bus,17.2805845322725,49
Vdn0kVuba4a9LxwlhEGiJ,Bus,11.8450429921591,49
PBikgVF29mTLslC7tpYmN,Microbus,3.74279707732954,14
zB2dG9TMv7AhP64pVaI2B,Microbus,2.18174477313674,14
X58kvJ659-Gn2oLWjTaD4,Microbus,64.1714801240858,14
-VhmbIy80una-3ZcYAtuQ,Microbus,3.85740156453773,14
P_O_14_IC086,Microbus,27.5203680773862,14
P_O_14_CA077,Microbus,12.1601287583095,14
NUilWKiUS6Kx6c0X5hCYF,Microbus,6.46536991672257,14
OOILmjleFc1XPBnUjoK58,Microbus,4.08526963555639,14
P_B_8_6O010,Tomnaya,8.41408981223623,7
P_B_8_6O012,Tomnaya,4.76556304510316,7
P_O_14_IG034,Microbus,20.2438722917682,14
P_O_14_IC043,Microbus,32.0615028558038,14
P_O_14_IC007,Microbus,28.4748010932969,14
EbtM_hQ0jhsQyuGc5GCpz,Tomnaya,5.0195364860866,7
dZLGvivIWt6t7VSFtbMB9,Bus,16.2161093624658,49
HRKfVI0GjLKHq6o9ulFba,Microbus,3.59683480177442,14
j7UPthklnvwZzR-_G5yRe,Minibus,17.6217745110617,33
h8hJSqxjvR_DV1rkw2S5k,Microbus,7.43910069072135,14
eMaHcYlisvFxLtiCbDGRM,Bus,12.1647774429655,49
MfH-pfpTAl0OVRoWJgzRH,Bus,9.32521619940525,49
yAI6yQ2LBxm7IO1KMcmR0,Microbus,3.06854618380901,14
ZqF0hj3CyZzVwb8YwhrN3,Microbus,11.9247209179335,14
oVLz5uMkzuzBcOtlii3MM,Microbus,3.76809013213966,14
6snbHgT_od7Wcobjy2M68,Bus,23.0149308465839,49
k_9mWTTJJol46IWykMhrV,Microbus,7.46312323854211,14
RSdIAdQiV_sN5aWHuOSsc,Microbus,2.57173280276393,14
vvE6l7VzFeki_7IJpH25B,Bus,15.4734724344535,49
AkZ8btBfGZichKXXhgGwM,Microbus,19.1560012196118,14
bn1tRMyVcFLKoJ48jSDDC,Bus,9.75669198733033,49
MUrGLjBAM0T83fv3U3Mqa,Microbus,8.95335397623376,14
m9IKw8bdVfTvbKv5OgLgV,Microbus,3.75702283194471,14
db_dOwMf5RFl45eluXu_7,Bus,13.0574603254264,49
iCZTu5NQScawKNksGO9uH,Microbus,7.31133450533891,14
P_O_14_IG065,Microbus,7.00186375102632,14
CTA_204,Bus,16.3461293723535,49
Rh-QBHyvCmHYpwBY-voEg,Microbus,4.30935187210925,14
P_O_14_IG012,Microbus,8.01766116902935,14
P_O_14_IC005,Microbus,3.39376882516512,14
fhoRkkZP1LuBccGcQ-lPf,Microbus,1.60563869088095,14
PtTt3WzbrwwaHofgpaVMj,Minibus,7.44645309629729,33
P_O_14_CA071,Microbus,2.03226210205514,14
BOX_6O024,Box,6.55408573211487,10
NUilWKiUS6Kx6c0X5hCYF,Microbus,5.03583227708105,14
189igEKLGNwIUDl8gfOwh,Microbus,17.5188163054862,14
P_O_14_GZ030,Microbus,14.3738412284702,14
UYpQshWZml8TRw8pbOOWx,Tomnaya,4.67100684503873,7
P_O_14_GZ026,Microbus,8.92215594729597,14
P_O_14_GZ048,Microbus,2.75065642900098,14
