H3_Hex_ID,Population_2018,Jobs_In_Hex,Boarding_Total_Hex,Underserved_Score
883e62808dfffff,43444,29179,37004.0,0.0
883e628091fffff,36520,4224,9491.0,0.0
883e628093fffff,26052,10250,20043.0,0.0
883e628095fffff,43613,5484,3885.0,0.06688524590163925
883e628097fffff,70853,10991,13086.0,0.03868852459016392
883e628099fffff,41434,4443,7813.0,0.00721311475409836
883e62809bfffff,67107,5408,6854.0,0.08196721311475408
883e62809dfffff,14629,4387,4858.0,0.0
883e6280a1fffff,40897,13231,15753.0,0.0
883e6280a3fffff,58647,14671,4095.0,0.11016393442622952
883e6280a5fffff,26706,4729,2921.0,0.0298360655737705
883e6280a7fffff,45906,15413,30669.0,0.0
883e6280a9fffff,28240,11866,41389.0,0.0
883e6280abfffff,50689,13438,20374.0,0.0
883e6280b1fffff,71616,10579,7905.0,0.07606557377049172
883e6280b3fffff,66087,11087,4403.0,0.11278688524590164
883e6280b5fffff,46480,5201,0.0,0.6052459016393442
883e6280b7fffff,55948,8230,4699.0,0.09114754098360656
883e6280b9fffff,71564,10531,0.0,0.6570491803278689
883e6280bbfffff,89153,13150,8640.0,0.07999999999999996
883e6280bdfffff,58484,7754,22272.0,0.0
883e6280c1fffff,55862,24283,20055.0,0.0
883e6280c3fffff,54808,24385,3775.0,0.10688524590163939
883e6280c5fffff,46972,25336,19765.0,0.0
883e6280c7fffff,56480,25008,116.0,0.2849180327868852
883e6280c9fffff,45074,11682,620.0,0.19934426229508195
883e6280cbfffff,52629,20508,0.0,0.6255737704918033
883e6280cdfffff,43700,15781,0.0,0.5940983606557377
883e6280d1fffff,40042,18758,17117.0,0.0
883e6280d3fffff,18816,4767,17332.0,0.0
883e6280d5fffff,40760,19152,11879.0,0.0
883e6280d7fffff,19225,7365,0.0,0.5003278688524591
883e6280d9fffff,40763,19153,9889.0,0.0
883e6280dbfffff,29250,12852,0.0,0.5468852459016393
883e6280ddfffff,42989,19982,8411.0,0.003278688524590123
883e6280e1fffff,4745,728,0.0,0.2295081967213115
883e6280e7fffff,5645,552,0.0,0.2780327868852459
883e6280ebfffff,21897,24370,30363.0,0.0
883e628109fffff,4931,422,0.0,0.23606557377049175
883e62811bfffff,5377,137,0.0,0.2629508196721312
883e628121fffff,2681,40,0.0,0.13508196721311477
883e628123fffff,3399,21,0.0,0.17245901639344263
883e628125fffff,2617,45,0.0,0.12885245901639342
883e628133fffff,6316,1324,0.0,0.31016393442622947
883e628137fffff,5240,757,0.0,0.25770491803278683
883e628143fffff,6187,4414,0.0,0.30557377049180323
883e628147fffff,5158,710,0.0,0.2550819672131147
883e62814bfffff,6198,2336,0.0,0.3072131147540984
883e628151fffff,3624,690,0.0,0.17836065573770488
883e628155fffff,9892,2424,0.0,0.39213114754098366
883e62815dfffff,6198,3173,0.0,0.3072131147540984
883e628181fffff,53159,9991,0.0,0.6281967213114754
883e628183fffff,59539,14184,5521.1610746131055,0.09180327868852456
883e628185fffff,52951,10260,5686.0,0.0727868852459016
883e628187fffff,31327,25674,7276.641051495033,0.0
883e628189fffff,51199,10001,72.0,0.2767213114754098
883e62818bfffff,63097,12603,21740.0,0.0
883e62818dfffff,44361,8286,12854.0,0.0
883e628193fffff,46472,15114,676.0,0.20196721311475407
883e628197fffff,6781,7569,6466.0,0.0
883e628199fffff,30095,11132,4318.0,0.015737704918032835
883e62819bfffff,39632,9533,2638.0,0.07999999999999996
883e62819dfffff,31676,16368,45765.0,0.0
883e6281a1fffff,67119,18884,0.0,0.6511475409836066
883e6281a3fffff,37489,29136,260.0,0.2065573770491803
883e6281a5fffff,37294,10254,0.0,0.5731147540983607
883e6281a7fffff,58615,15722,0.0,0.6386885245901639
883e6281a9fffff,53158,9990,0.0,0.6275409836065574
883e6281abfffff,40033,27086,4102.0,0.05049180327868852
883e6281adfffff,39462,9192,2550.0,0.08262295081967219
883e6281b1fffff,15606,24844,4243.0,0.0
883e6281b3fffff,4273,10091,5973.0,0.0
883e6281b5fffff,11251,26615,8219.0,0.0
883e6281b7fffff,12844,26583,4750.0,0.0
883e6281b9fffff,22315,28411,21564.0,0.0
883e6281bbfffff,10001,17593,6468.0,0.0
883e6281bdfffff,16201,26455,9567.0,0.0
