Terminal_ID,Terminal_Name,Vehicles_At_Terminal,Passengers_At_Terminal,Pax_Per_Vehicle_Ratio,Veh_Segments_Count,Pax_Segments_Count,Empty_Return_Index,Veh_log,Pax_log,Empty_Severity
116,Remaya Square,102.0,706.6063209466417,6.927512950457272,5,3,0.0,4.634728988229636,6.561887895183326,0.0
117,Hadaba Wosta (Moqattam),5.0,145.0,29.0,1,1,0.0,1.791759469228055,4.983606621708336,0.0
118,AUC Bus,9.0,287.24068607842855,31.91563178649206,2,3,0.0,2.302585092994046,5.663795846670243,0.0
119,Al Toub Al Ramly,0.0,0.0,,0,0,,0.0,0.0,
120,Helwan Post Office,4.0,55.0,13.75,1,1,0.0,1.6094379124341003,4.02535169073515,0.0
121,Laylat Al Qadr,202.0,315.0,1.5594059405940595,10,3,0.0,5.313205979041787,5.755742213586912,0.0
146,Ain Shams Metro,8.0,0.0,0.0,1,0,1.0,2.1972245773362196,0.0,2.1972245773362196
122,Helwan Metro,9.0,84.0,9.333333333333334,2,1,0.0,2.302585092994046,4.442651256490317,0.0
123,Al Hamd Square,102.0,1206.0,11.823529411764707,10,8,0.0,4.634728988229636,7.095893221097532,0.0
125,New Cairo Academy,83.0,371.0,4.469879518072289,2,3,0.0,4.430816798843313,5.918893854273146,0.0
126,Bohooth (Al Kobri Al Khashab),209.0,3756.3867838082965,17.97314250625979,13,8,0.0,5.3471075307174685,8.231478990450181,0.0
127,Abou Wafya,195.0,1988.0,10.194871794871794,10,14,0.0,5.278114659230517,7.5953872788539725,0.0
128,Can Can 12th District  (6th of October),0.0,184.0,,0,4,,0.0,5.220355825078324,
130,Mamaleek -Manial (Meqyas),15.0,39.0,2.6,3,1,0.0,2.772588722239781,3.6888794541139363,0.0
132,Zamalek Ferry,0.0,0.0,,0,0,,0.0,0.0,
133,Masarra,5.0,0.0,0.0,1,0,1.0,1.791759469228055,0.0,1.791759469228055
134,Isko,5.0,2077.0,415.4,1,11,0.0,1.791759469228055,7.639161171659173,0.0
135,Kattameya Church,46.0,365.0,7.934782608695652,4,2,0.0,3.8501476017100584,5.902633333401366,0.0
136,10th of Ramadan City,15.0,224.0,14.933333333333334,1,1,0.0,2.772588722239781,5.41610040220442,0.0
137,Bulaq Al Dakrur,108.0,6417.0,59.416666666666664,6,22,0.0,4.6913478822291435,8.766861821669803,0.0
138,Hadaek EL Kobba,483.0,5385.0,11.149068322981366,23,8,0.0,6.182084906716632,8.591558273371545,0.0
139,Mostorod,0.0,0.0,,0,0,,0.0,0.0,
140,Awwel Al Zawya Al Hamra,251.0,6312.0,25.147410358565736,13,13,0.0,5.529429087511423,8.750366278367625,0.0
142,Tagneed (Al Remaya),0.0,0.0,,0,0,,0.0,0.0,
143,Zahraa Ain Shams,266.0,302.0,1.1353383458646618,6,4,0.0,5.58724865840025,5.713732805509369,0.0
144,Mazlaqan Ain Shams,221.0,4533.0,20.511312217194572,11,12,0.0,5.402677381872279,8.419359831067474,0.0
145,Ezbet Al Nakhl,69.0,866.0,12.55072463768116,4,5,0.0,4.248495242049359,6.7650389767805414,0.0
147,Masaken Helmeyet Al Zaitoun,3.0,28.0,9.333333333333334,2,1,0.0,1.3862943611198906,3.367295829986474,0.0
148,Abou Rawwash,0.0,0.0,,0,0,,0.0,0.0,
149,Kerdasa,43.0,439.0,10.209302325581396,4,5,0.0,3.784189633918261,6.0867747269123065,0.0
150,Ramses,10.0,140.0,14.0,2,1,0.0,2.3978952727983707,4.948759890378168,0.0
151,Amiriya,45.0,988.0,21.955555555555556,3,11,0.0,3.828641396489095,6.8966943316227125,0.0
152,Ibrahim Bek,27.0,2031.0,75.22222222222223,5,19,0.0,3.332204510175204,7.616775808698373,0.0
153,Qalyoub El Balad,39.0,1610.0,41.282051282051285,2,6,0.0,3.6888794541139363,7.384610383176974,0.0
154,Al Wehda Imbaba (Al Bohi),175.0,4581.0,26.177142857142858,4,7,0.0,5.170483995038151,8.42989086301344,0.0
155,Warraq Al Arab (Cima),41.0,1578.0,38.48780487804878,3,11,0.0,3.7376696182833684,7.364547014255642,0.0
156,Ghamra,455.0,2858.4161336308125,6.28223326072706,8,6,0.0,6.1224928095143865,7.958372733892503,0.0
