Stop_Name,Morning_Formal_BA,Morning_Informal_BA,Daily_Formal_BA,Daily_Informal_BA,Morning_All_BA,Daily_All_BA,geometry,Formal_Share_Morning,Formal_Share_Daily,Formal_Percentage_Morning,Formal_Percentage_Daily,Dominant_Morning,Dominant_Daily,Dominance_Shifted
Ahmed Saaed Bridge Entrance,807.0,35.0,1267.0,119.0,842.0,1386.0,POINT (333528.9883487907 3327882.58021605),0.9584323040380047,0.9141414141414141,0.9584323040380047,0.9141414141414141,Formal,Formal,False
Ahmed Saaed Bridge Exit,0.0,798.0,0.0,1470.0,798.0,1470.0,POINT (333517.7575382384 3327871.7049387735),0.0,0.0,0.0,0.0,Informal,Informal,False
Ahmed Saeed St. & Abaseyya St.,3265.0,0.0,4687.386412235182,0.0,3265.0,4827.950086291886,POINT (333509.5092414857 3327140.6005572393),1.0,0.9708854334563629,1.0,0.9708854334563629,Formal,Formal,False
Ahmed Zaki St. (Maadi),47.0,462.0,111.0,606.0,509.0,717.0,POINT (332191.0809371049 3316137.4084754526),0.09233791748526522,0.15481171548117154,0.09233791748526522,0.15481171548117154,Informal,Informal,False
Ahram Gardens Resort (6th of October),0.0,0.0,0.0,44.0,0.0,44.0,POINT (315462.66890862095 3314969.90768045),,0.0,,0.0,Informal,Informal,False
Ahram School for Basic Education,395.0,0.0,651.0,784.0,395.0,1435.0,POINT (317945.7946981973 3319009.6281284816),1.0,0.45365853658536587,1.0,0.45365853658536587,Formal,Informal,True
Aida (Ahmed Helmy St.),96.0,45.0,144.0,165.0,141.0,309.0,POINT (331909.2126182971 3329468.5723815747),0.6808510638297872,0.46601941747572817,0.6808510638297872,0.46601941747572817,Formal,Informal,True
Ain Helwan Metro,0.0,1316.0,0.0,2044.0,1316.0,2044.0,POINT (338256.7710897273 3304726.1893388834),0.0,0.0,0.0,0.0,Informal,Informal,False
Ain Shams University,546.0,3059.0,582.0,3191.0,3605.0,3773.0,POINT (334902.9647760135 3328418.0301443827),0.15145631067961166,0.15425390935595018,0.15145631067961166,0.15425390935595018,Informal,Informal,False
Ain Shams University (Obour),13.0,86.0,13.0,254.0,99.0,267.0,POINT (351522.7437104083 3342442.7512706374),0.13131313131313133,0.04868913857677903,0.13131313131313133,0.04868913857677903,Informal,Informal,False
Ain Shams University Dorms,718.0,35.0,1094.0,35.0,753.0,1129.0,POINT (335146.6153138984 3328644.719580848),0.953519256308101,0.9689991142604074,0.953519256308101,0.9689991142604074,Formal,Formal,False
Air Force Hospital,160.0,2607.0,288.0,3007.0,2767.0,3295.0,POINT (348921.1047116491 3321604.478555337),0.057824358511022765,0.0874051593323217,0.057824358511022765,0.0874051593323217,Informal,Informal,False
Air Force Hospital (Al Waili),3262.0,0.0,6118.0,0.0,3262.0,6118.0,POINT (333575.92432240245 3326963.3305579284),1.0,1.0,1.0,1.0,Formal,Formal,False
Akhnaton School,90.0,0.0,122.0,0.0,90.0,122.0,POINT (347068.9156732486 3320555.816618971),1.0,1.0,1.0,1.0,Formal,Formal,False
Akhnaton Square (5th Settlement),99.0,405.0,179.0,405.0,504.0,584.0,POINT (346828.0291622792 3320650.4729940854),0.19642857142857142,0.3065068493150685,0.19642857142857142,0.3065068493150685,Informal,Informal,False
Al Aalam Specialized Hospital,425.0,1911.0,577.0,2247.0,2336.0,2824.0,POINT (325694.37268243614 3327503.433066713),0.1819349315068493,0.2043201133144476,0.1819349315068493,0.2043201133144476,Informal,Informal,False
Al Abageyya,1009.0,0.0,1945.0,0.0,1009.0,1945.0,POINT (332565.1730533717 3322704.2574677793),1.0,1.0,1.0,1.0,Formal,Formal,False
Al Abaseyya Institute for Computer & Commercial Sciences,0.0,0.0,0.0,20.0,0.0,20.0,POINT (338410.5669097178 3335701.9390086383),,0.0,,0.0,Informal,Informal,False
Al Abaseyya Institute for Computers,0.0,2578.0,0.0,4006.0,2578.0,4006.0,,0.0,0.0,0.0,0.0,Informal,Informal,False
Al Abeet Steps (Ring Rd.),0.0,36.0,0.0,76.0,36.0,76.0,POINT (324045.3065392581 3327631.4250756316),0.0,0.0,0.0,0.0,Informal,Informal,False
