Feature_ID,Grid_ID,Jobs_Accessible_60min,H3_Hex_ID,Population_2018,Pop_Male,Pop_Female,Jobs_In_Hex,Jobs_Pct_Accessible_60min,geometry
49,49,303,883e60495dfffff,1889,983,906,111,0.0,"MULTIPOLYGON (((350079.7363738621 3347425.2659927835, 350654.5209191652 3347463.076928055, 350976.5538497865 3346982.586477523, 350723.81339432206 3346464.277656853, 350149.02798500506 3346426.452579573, 349826.98388736707 3346906.9504645034, 350079.7363738621 3347425.2659927835)))"
50,50,62,883e604961fffff,108,56,52,19,0.0,"MULTIPOLYGON (((346769.2977593712 3345200.578517985, 347344.1722361074 3345238.4242630764, 347666.25285727443 3344757.904014647, 347413.4702512274 3344239.5305726696, 346838.59497547336 3344201.6717340136, 346516.50213453127 3344682.199443921, 346769.2977593712 3345200.578517985)))"
51,51,1193,883e604969fffff,533,276,257,230,0.0,"MULTIPOLYGON (((346700.00400271267 3346199.4811828644, 347274.8786042228 3346237.312710018, 347596.9566038961 3345756.7868773798, 347344.1722361074 3345238.4242630764, 346769.2977593712 3345200.578517985, 346447.20754877955 3345681.11182135, 346700.00400271267 3346199.4811828644)))"
52,52,32,883e60496dfffff,140,72,67,36,0.0,"MULTIPOLYGON (((345872.31043455726 3345643.272403484, 346447.20754877955 3345681.11182135, 346769.2977593712 3345200.578517985, 346516.50213453127 3344682.199443921, 345941.6051730802 3344644.3469014238, 345619.5027133805 3345124.886570693, 345872.31043455726 3345643.272403484)))"
53,53,1393,883e6049a9fffff,1343,699,644,990,0.0,"MULTIPOLYGON (((354013.37078469316 3340660.923396944, 354588.06913857406 3340698.8275494194, 354910.07399962517 3340218.410857113, 354657.3926024893 3339700.081553434, 354082.6935432748 3339662.1633420438, 353760.6765640147 3340142.5873845224, 354013.37078469316 3340660.923396944)))"
54,54,1985,883e6049adfffff,1888,982,905,1740,0.0,"MULTIPOLYGON (((353185.95495101664 3340104.6753146932, 353760.6765640147 3340142.5873845224, 354082.6935432748 3339662.1633420438, 353830.00102764444 3339143.818767309, 353255.2796697541 3339105.8915024395, 352933.2505645712 3339586.3240068927, 353185.95495101664 3340104.6753146932)))"
55,55,1776,883e6049c5fffff,1888,983,905,460,0.0,"MULTIPOLYGON (((353805.4251825351 3343657.17748133, 354380.1222444449 3343695.03942871, 354702.12082316185 3343214.60734019, 354449.4334760221 3342696.307046959, 353874.7365873144 3342658.4299117834, 353552.7259168307 3343138.869378306, 353805.4251825351 3343657.17748133)))"
56,56,960,883e6049c9fffff,1163,605,557,3,0.0,"MULTIPOLYGON (((354563.50480450265 3345212.0497207786, 355138.1787344557 3345249.8897423204, 355460.1628148982 3344769.4606453865, 355207.4850326454 3344251.1852510246, 354632.81029259623 3344213.33117519, 354310.8141517838 3344693.767655898, 354563.50480450265 3345212.0497207786)))"
57,57,6474,883e6049cdfffff,1889,983,906,2181,0.1,"MULTIPOLYGON (((353736.1178876312 3344655.9197777943, 354310.8141517838 3344693.767655898, 354632.81029259623 3344213.33117519, 354380.1222444449 3343695.03942871, 353805.4251825351 3343657.17748133, 353483.41695873486 3344137.6213492835, 353736.1178876312 3344655.9197777943)))"
58,58,735,883e6049e1fffff,1888,982,905,161,0.0,"MULTIPOLYGON (((353047.31883391505 3342102.228220881, 353622.0390063762 3342140.1132435245, 353944.0511592722 3341659.679297961, 353691.35525505536 3341141.3529571462, 353116.635306165 3341103.453842596, 352794.61006734206 3341583.8951732437, 353047.31883391505 3342102.228220881)))"
59,59,283,883e6049e3fffff,1696,882,813,79,0.0,"MULTIPOLYGON (((353944.0511592722 3341659.679297961, 354518.7497474522 3341697.5693761194, 354840.75220496056 3341217.1471881797, 354588.06913857406 3340698.8275494194, 354013.37078469316 3340660.923396944, 353691.35525505536 3341141.3529571462, 353944.0511592722 3341659.679297961)))"
60,60,75535,883e6049e5fffff,1888,982,905,676,1.4,"MULTIPOLYGON (((352219.8675622515 3341546.002236568, 352794.61006734206 3341583.8951732437, 353116.635306165 3341103.453842596, 352863.9282522679 3340585.1122249924, 352289.1859682745 3340547.204073043, 351967.1485985986 3341027.6538877273, 352219.8675622515 3341546.002236568)))"
61,61,1031,883e6049e7fffff,1888,982,905,383,0.0,"MULTIPOLYGON (((353116.635306165 3341103.453842596, 353691.35525505536 3341141.3529571462, 354013.37078469316 3340660.923396944, 353760.6765640147 3340142.5873845224, 353185.95495101664 3340104.6753146932, 352863.9282522679 3340585.1122249924, 353116.635306165 3341103.453842596)))"
62,62,179,883e6049e9fffff,1888,983,905,190,0.0,"MULTIPOLYGON (((352978.0065066749 3343100.9984372957, 353552.7259168307 3343138.869378306, 353874.7365873144 3342658.4299117834, 353622.0390063762 3342140.1132435245, 353047.31883391505 3342102.228220881, 352725.2960490887 3342582.675068904, 352978.0065066749 3343100.9984372957)))"
63,63,70,883e6049ebfffff,1881,978,902,34,0.0,"MULTIPOLYGON (((353874.7365873144 3342658.4299117834, 354449.4334760221 3342696.307046959, 354771.43449097977 3342215.8804572993, 354518.7497474522 3341697.5693761194, 353944.0511592722 3341659.679297961, 353622.0390063762 3342140.1132435245, 353874.7365873144 3342658.4299117834)))"
